Algorithm,n,execution_time(s),total_function_calls,total_arithmetic_operation_calls,total_multiply_calls,total_sub_matrix_calls
Strassen,1,0.000291348,1,0,1,0
ijk,1,0.000313044,1,0,1,0
divide-and-conquer,1,0.000317335,1,0,1,0
ijk,2,0.00059557,1,0,1,0
divide-and-conquer,2,0.000624657,1,0,1,0
Strassen,2,0.000590801,1,0,1,0
ijk,4,0.002711773,1,0,1,0
divide-and-conquer,4,0.002755404,1,0,1,0
Strassen,4,0.002840757,1,0,1,0
ijk,8,0.020142078,1,0,1,0
divide-and-conquer,8,0.026366234,9,4,8,8
Strassen,8,0.033043623,8,18,7,8
ijk,16,0.157846451,1,0,1,0
divide-and-conquer,16,0.23803091,73,36,64,72
Strassen,16,0.285303116,57,144,49,64
ijk,32,1.236488581,1,0,1,0
divide-and-conquer,32,1.966459036,585,292,512,584
Strassen,32,2.100120544,400,1026,343,456
ijk,64,9.752403498,1,0,1,0
Strassen,64,16.69507575,2801,7200,2401,3200
divide-and-conquer,64,16.33824611,4681,2340,4096,4680
divide-and-conquer,128,128.0654874,37449,18724,32768,37448
ijk,128,78.64904261,1,0,1,0
Strassen,128,171.1627696,19608,50418,16807,22408
divide-and-conquer,256,1456.660388,299593,149796,262144,299592
ijk,256,646.6228426,1,0,1,0
Strassen,256,819.267889,137257,352944,117649,156864
ijk,512,4773.55882,1,0,1,0
Strassen,512,6053.524783,960800,2470626,823543,1098056
divide-and-conquer,512,10008.94986,2396745,1198372,2097152,2396744
ijk,1024,46483.81129,1,0,1,0
Strassen,1024,46605.41248,6725601,17294400,5764801,7686400
divide-and-conquer,1024,66921.60046,19173961,9586980,16777216,19173960
